Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
NTPC Ltd,NTPC,"Power Generation","387042.42873861","399.15","16.52441411955065","6.454193892519","-0.535758783952164","13.149637260833101","2.02509942168355"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","381835.14131154","1657.3","29.816404799822887","26.001672622215466","-0.22876407200047888","18.517618582608744","5.863316847200792"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","381248.0015335","383.3","17.230777087646693","7.789651293588299","0.3403141361256574","15.394079141994343","2.4207859231973465"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","376842.26361573","299.55","10.402650711533523","5.661375661375665","-0.6138022561380113","9.872627096488188","1.0069665925948637"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","371936.111274","3097.5","28.76736286934125","3.9883170510625505","-1.7384132220918116","14.972524720571585","3.991875687887738"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","340824.939111","11586","41.738913191250155","6.616361461304868","-2.0873827431758643","9.001721460300363","4.612389247301788"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","337409.40009657","2408.4","36.127253484038185","33.696014211169086","-0.7213817552248649","14.13111531329148","5.974972752945478"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","324448.48667574","1199.1","19.495762929680325","-11.16461698029338","-0.09165139143477223","25.213129965783217","4.656731971864854"
Bharat Electronics Ltd,BEL,"Electronic Equipments","315270.76089477004","431.3","59.245384876042955","7.261875155433969","-1.428408181922066","29.289197137260363","15.76919129981949"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","308642.5706094","1264.5","88.08292540222602","12.952210808396606","-1.1877783855591189","4.338190687251613","3.776368170921327"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","299057.38786362996","4585.9","110.43396572537459","18.184161018477937","-0.1632777463316933","13.4982419517078","13.957230365087952"
Coal India Ltd,COALINDIA,"Mining - Coal","296704.555303415","481.45","9.542091339066271","8.544696201104719","0.32298395499062543","38.53066095781682","2.968509324982299"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","296084.722577865","318.35","19.075853952846188","8.577762619372455","-0.6243171531137818","17.264467549594038","3.195291860649003"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","290168.097","4338.8","34.6919640177759","22.48539084775428","-0.2941446824156674","26.0861496986136","8.29403135671486"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","281263.9267152","1458.6","80.38225096745435","23.150962512664623","-0.47762008733624456","87.26829998231547","70.13695709581292"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","279291.37244736","1747.2","28.4962990854334","4.7607626813766695","-0.9636095680761818","7.641623481633527","2.1745867316474747"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","279104.1699602","9994","38.10436288575818","13.736201206327529","4.720490386126683","22.835842276921877","7.931630704705337"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","263851.922650576","211.36","77.13818192333169","11.742003700766592","-2.0937557902538364","3.722284541241344","2.8882746934529626"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","251807.885805","595.95","18.20473436993927","18.02158629567285","-2.7893320283826624","72.59913747764804","18.895984226699685"
Asian Paints Ltd,ASIANPAINT,"Paints","234340.59791275","2444.5","63.90125460163391","12.179340094534444","-0.11441180076002867","18.576375037896323","11.682537204541093"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","232112.7029904","1038","14.506137303318543","17.374342737603886","-2.7361319340329877","13.921297383829684","1.8760978571980504"
Eternal Ltd,ETERNAL,"Online Services","227116.71849783702","247.03","620.5374822345274","9.387592436788731","-2.755580049600441","2.078239608801956","7.493128290921709"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","220529.06214111001","937.35","21.999754806498498","6.480745200499838","-2.037936980717981","18.001194763727987","3.905255269825725"
Wipro Ltd,WIPRO,"IT Services & Consulting","210220.792010025","200.65","15.928955097975749","6.265226141298599","-0.014949172812438278","16.70693294345316","2.5457270287816107"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","202133.221860825","1227.15","122.35667182858656","49.170364067343364","-1.4178984575835367","7.216211488968292","8.95464589823351"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","200874.615998175","142.25","14.77253857952249","6.07755406413125","-1.3454469796795878","7.172090313914273","1.0515637928536292"
